precio_compra, tam, num_puertas,cantidad_personas,tam_maletera,seguridad,calificacion
muy_alto,alto,mas_de_4,2,pequeño,bajo,inaceptable
muy_alto,alto,mas_de_4,2,pequeño,intermedio,inaceptable
muy_alto,alto,mas_de_4,2,pequeño,alto,inaceptable
muy_alto,alto,mas_de_4,2,intermedio,bajo,inaceptable
muy_alto,alto,mas_de_4,2,intermedio,intermedio,inaceptable
muy_alto,alto,mas_de_4,2,intermedio,alto,inaceptable
muy_alto,alto,mas_de_4,2,grande,bajo,inaceptable
muy_alto,alto,mas_de_4,2,grande,intermedio,inaceptable
muy_alto,alto,mas_de_4,2,grande,alto,inaceptable
muy_alto,alto,mas_de_4,4,pequeño,bajo,inaceptable
muy_alto,alto,mas_de_4,4,pequeño,intermedio,inaceptable
muy_alto,alto,mas_de_4,4,pequeño,alto,inaceptable
muy_alto,alto,mas_de_4,4,intermedio,bajo,inaceptable
muy_alto,alto,mas_de_4,4,intermedio,intermedio,inaceptable
muy_alto,alto,mas_de_4,4,intermedio,alto,inaceptable
muy_alto,alto,mas_de_4,4,grande,bajo,inaceptable
muy_alto,alto,mas_de_4,4,grande,intermedio,inaceptable
muy_alto,alto,mas_de_4,4,grande,alto,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,pequeño,bajo,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,pequeño,intermedio,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,pequeño,alto,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,intermedio,bajo,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,intermedio,intermedio,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,intermedio,alto,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,grande,bajo,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,grande,intermedio,inaceptable
muy_alto,alto,mas_de_4,mas_de_4,grande,alto,inaceptable
muy_alto,intermedio,2,2,pequeño,bajo,inaceptable
muy_alto,intermedio,2,2,pequeño,intermedio,inaceptable
muy_alto,intermedio,2,2,pequeño,alto,inaceptable
muy_alto,intermedio,2,2,intermedio,bajo,inaceptable
muy_alto,intermedio,2,2,intermedio,intermedio,inaceptable
muy_alto,intermedio,2,2,intermedio,alto,inaceptable
muy_alto,intermedio,2,2,grande,bajo,inaceptable
muy_alto,intermedio,2,2,grande,intermedio,inaceptable
muy_alto,intermedio,2,2,grande,alto,inaceptable
muy_alto,intermedio,2,4,pequeño,bajo,inaceptable
muy_alto,intermedio,2,4,pequeño,intermedio,inaceptable
muy_alto,intermedio,2,4,pequeño,alto,aceptable
muy_alto,intermedio,2,4,intermedio,bajo,inaceptable
muy_alto,intermedio,2,4,intermedio,intermedio,inaceptable
muy_alto,intermedio,2,4,intermedio,alto,aceptable
muy_alto,intermedio,2,4,grande,bajo,inaceptable
muy_alto,intermedio,2,4,grande,intermedio,aceptable
muy_alto,intermedio,2,4,grande,alto,aceptable
muy_alto,intermedio,2,mas_de_4,pequeño,bajo,inaceptable
muy_alto,intermedio,2,mas_de_4,pequeño,intermedio,inaceptable
muy_alto,intermedio,2,mas_de_4,pequeño,alto,inaceptable
muy_alto,intermedio,2,mas_de_4,intermedio,bajo,inaceptable
muy_alto,intermedio,2,mas_de_4,intermedio,intermedio,inaceptable
muy_alto,intermedio,2,mas_de_4,intermedio,alto,aceptable
muy_alto,intermedio,2,mas_de_4,grande,bajo,inaceptable
muy_alto,intermedio,2,mas_de_4,grande,intermedio,aceptable
muy_alto,intermedio,2,mas_de_4,grande,alto,aceptable
muy_alto,intermedio,3,2,pequeño,bajo,inaceptable
muy_alto,intermedio,3,2,pequeño,intermedio,inaceptable
muy_alto,intermedio,3,2,pequeño,alto,inaceptable
muy_alto,intermedio,3,2,intermedio,bajo,inaceptable
muy_alto,intermedio,3,2,intermedio,intermedio,inaceptable
muy_alto,intermedio,3,2,intermedio,alto,inaceptable
muy_alto,intermedio,3,2,grande,bajo,inaceptable
muy_alto,intermedio,3,2,grande,intermedio,inaceptable
muy_alto,intermedio,3,2,grande,alto,inaceptable
muy_alto,intermedio,3,4,pequeño,bajo,inaceptable
muy_alto,intermedio,3,4,pequeño,intermedio,inaceptable
muy_alto,intermedio,3,4,pequeño,alto,aceptable
muy_alto,intermedio,3,4,intermedio,bajo,inaceptable
muy_alto,intermedio,3,4,intermedio,intermedio,inaceptable
muy_alto,intermedio,3,4,intermedio,alto,aceptable
muy_alto,intermedio,3,4,grande,bajo,inaceptable
muy_alto,intermedio,3,4,grande,intermedio,aceptable
muy_alto,intermedio,3,4,grande,alto,aceptable
muy_alto,intermedio,3,mas_de_4,pequeño,bajo,inaceptable
muy_alto,intermedio,3,mas_de_4,pequeño,intermedio,inaceptable
muy_alto,intermedio,3,mas_de_4,pequeño,alto,aceptable
muy_alto,intermedio,3,mas_de_4,intermedio,bajo,inaceptable
muy_alto,intermedio,3,mas_de_4,intermedio,intermedio,aceptable
muy_alto,intermedio,3,mas_de_4,intermedio,alto,aceptable
muy_alto,intermedio,3,mas_de_4,grande,bajo,inaceptable
muy_alto,intermedio,3,mas_de_4,grande,intermedio,aceptable
muy_alto,intermedio,3,mas_de_4,grande,alto,aceptable
muy_alto,intermedio,4,2,pequeño,bajo,inaceptable
muy_alto,intermedio,4,2,pequeño,intermedio,inaceptable
muy_alto,intermedio,4,2,pequeño,alto,inaceptable
muy_alto,intermedio,4,2,intermedio,bajo,inaceptable
muy_alto,intermedio,4,2,intermedio,intermedio,inaceptable
muy_alto,intermedio,4,2,intermedio,alto,inaceptable
muy_alto,intermedio,4,2,grande,bajo,inaceptable
muy_alto,intermedio,4,2,grande,intermedio,inaceptable
muy_alto,intermedio,4,2,grande,alto,inaceptable
muy_alto,intermedio,4,4,pequeño,bajo,inaceptable
muy_alto,intermedio,4,4,pequeño,intermedio,inaceptable
muy_alto,intermedio,4,4,pequeño,alto,aceptable
muy_alto,intermedio,4,4,intermedio,bajo,inaceptable
muy_alto,intermedio,4,4,intermedio,intermedio,aceptable
muy_alto,intermedio,4,4,intermedio,alto,aceptable
muy_alto,intermedio,4,4,grande,bajo,inaceptable
muy_alto,intermedio,4,4,grande,intermedio,aceptable
muy_alto,intermedio,4,4,grande,alto,aceptable
muy_alto,intermedio,4,mas_de_4,pequeño,bajo,inaceptable
muy_alto,intermedio,4,mas_de_4,pequeño,intermedio,inaceptable
muy_alto,intermedio,4,mas_de_4,pequeño,alto,aceptable
muy_alto,intermedio,4,mas_de_4,intermedio,bajo,inaceptable
muy_alto,intermedio,4,mas_de_4,intermedio,intermedio,aceptable
muy_alto,intermedio,4,mas_de_4,intermedio,alto,aceptable
muy_alto,intermedio,4,mas_de_4,grande,bajo,inaceptable
muy_alto,intermedio,4,mas_de_4,grande,intermedio,aceptable
muy_alto,intermedio,4,mas_de_4,grande,alto,aceptable
muy_alto,intermedio,mas_de_4,2,pequeño,bajo,inaceptable
muy_alto,intermedio,mas_de_4,2,pequeño,intermedio,inaceptable
muy_alto,intermedio,mas_de_4,2,pequeño,alto,inaceptable
muy_alto,intermedio,mas_de_4,2,intermedio,bajo,inaceptable
muy_alto,intermedio,mas_de_4,2,intermedio,intermedio,inaceptable
muy_alto,intermedio,mas_de_4,2,intermedio,alto,inaceptable
muy_alto,intermedio,mas_de_4,2,grande,bajo,inaceptable
muy_alto,intermedio,mas_de_4,2,grande,intermedio,inaceptable
muy_alto,intermedio,mas_de_4,2,grande,alto,inaceptable
muy_alto,intermedio,mas_de_4,4,pequeño,bajo,inaceptable
muy_alto,intermedio,mas_de_4,4,pequeño,intermedio,inaceptable
muy_alto,intermedio,mas_de_4,4,pequeño,alto,aceptable
muy_alto,intermedio,mas_de_4,4,intermedio,bajo,inaceptable
muy_alto,intermedio,mas_de_4,4,intermedio,intermedio,aceptable
muy_alto,intermedio,mas_de_4,4,intermedio,alto,aceptable
muy_alto,intermedio,mas_de_4,4,grande,bajo,inaceptable
muy_alto,intermedio,mas_de_4,4,grande,intermedio,aceptable
muy_alto,intermedio,mas_de_4,4,grande,alto,aceptable
muy_alto,intermedio,mas_de_4,mas_de_4,pequeño,bajo,inaceptable
muy_alto,intermedio,mas_de_4,mas_de_4,pequeño,intermedio,inaceptable
muy_alto,intermedio,mas_de_4,mas_de_4,pequeño,alto,aceptable
muy_alto,intermedio,mas_de_4,mas_de_4,intermedio,bajo,inaceptable
muy_alto,intermedio,mas_de_4,mas_de_4,intermedio,intermedio,aceptable
muy_alto,intermedio,mas_de_4,mas_de_4,intermedio,alto,aceptable
muy_alto,intermedio,mas_de_4,mas_de_4,grande,bajo,inaceptable
muy_alto,intermedio,mas_de_4,mas_de_4,grande,intermedio,aceptable
muy_alto,intermedio,mas_de_4,mas_de_4,grande,alto,aceptable
muy_alto,bajo,2,2,pequeño,bajo,inaceptable
muy_alto,bajo,2,2,pequeño,intermedio,inaceptable
muy_alto,bajo,2,2,pequeño,alto,inaceptable
muy_alto,bajo,2,2,intermedio,bajo,inaceptable
