Practica1,Practica2,Practica3,Practica4,Parcial,Final,Nota
11.0,14.5,11.5,8.0,9.5,3.5,0
18.0,16.5,11.5,16.5,17.5,19.0,1
11.5,9.0,7.0,17.5,13.5,17.0,1
15.0,16.5,17.5,19.0,8.5,19.0,1
14.0,19.0,15.5,18.0,15.0,13.0,1
17.5,15.5,19.0,19.0,14.0,17.5,1
9.5,13.5,12.0,16.0,11.0,10.5,1
16.5,12.5,19.0,17.0,19.0,17.0,1
13.5,16.5,16.5,19.5,12.5,16.0,1
14.0,13.0,19.5,16.5,9.0,12.5,1
13.0,17.0,15.5,13.5,12.0,10.5,1
15.0,11.5,17.5,18.5,10.0,16.0,1
14.0,8.5,15.5,13.5,10.5,10.0,1
15.0,11.0,18.0,17.0,18.0,16.0,1
14.0,17.5,18.5,15.0,14.5,6.5,1
19.5,17.5,19.5,19.0,18.0,15.5,1
12.0,15.5,14.0,18.0,12.0,9.0,1
16.5,16.0,16.0,17.5,16.0,14.5,1
13.0,13.0,7.0,15.5,13.5,10.0,1
15.0,15.5,18.5,17.5,16.0,14.0,1
0.0,18.5,18.0,13.0,15.0,8.5,1
13.5,10.0,17.5,11.5,6.5,10.5,1
15.5,16.0,19.5,18.0,16.0,16.0,1
8.0,11.0,0.0,14.0,12.0,8.5,0
13.0,11.5,12.0,3.0,13.0,9.5,1
10.0,13.0,12.5,14.5,11.0,10.5,1
13.0,19.5,16.5,19.0,16.0,12.0,1
14.0,16.5,20.0,17.5,12.5,13.0,1
7.0,16.5,8.5,17.5,12.5,17.0,1
13.5,9.5,9.5,13.5,14.0,7.0,1
15.0,13.5,18.5,18.0,15.0,16.0,1
15.5,18.0,18.5,18.5,16.0,16.0,1
12.0,11.0,17.5,16.0,15.0,15.0,1
8.5,16.0,8.5,15.5,8.0,15.0,1
15.0,17.0,9.0,9.5,12.5,14.5,1
16.5,18.5,15.5,15.0,15.5,14.5,1
14.5,15.5,12.0,11.5,13.5,9.0,1
12.5,3.0,13.0,6.5,12.5,14.0,1
10.5,10.0,12.0,8.5,11.0,13.0,1
15.5,10.0,7.5,15.5,11.5,13.5,1
11.5,14.5,19.0,17.0,13.5,15.0,1
12.5,12.0,9.5,6.0,11.5,12.0,1
14.5,11.0,13.0,11.5,12.5,9.5,1
15.5,17.5,18.5,15.0,16.5,14.0,1
15.5,11.5,18.0,18.5,10.5,15.0,1
12.5,10.5,8.5,15.5,12.0,10.5,1
15.0,13.5,11.5,8.0,13.5,13.0,1
13.5,12.5,5.0,9.0,13.0,4.5,0
18.0,11.0,15.0,15.5,15.0,10.5,1
11.5,13.0,13.0,6.5,11.5,9.0,0
10.5,15.0,16.0,9.0,12.5,8.5,1
11.5,15.0,18.5,17.0,15.0,10.0,1
12.5,11.0,9.5,7.0,11.5,8.0,0
14.5,12.0,20.0,15.5,10.0,18.0,1
13.5,13.0,16.0,8.0,13.5,11.5,1
19.0,13.0,16.0,19.0,18.0,12.0,1
16.5,8.0,19.0,9.5,8.0,9.0,0
17.0,17.5,11.0,16.5,14.0,19.5,1
11.0,10.5,14.0,10.5,7.0,13.5,1
12.5,11.5,17.0,13.5,13.0,13.5,1
16.0,10.5,10.0,19.5,12.0,14.0,1
15.0,19.0,19.5,19.0,17.0,18.5,1
14.5,7.5,9.5,17.5,10.0,10.5,1
11.0,10.5,4.0,5.0,15.5,3.0,0
18.5,14.5,14.0,16.5,13.5,18.5,1
10.5,13.0,11.0,8.0,8.5,4.5,0
10.0,11.5,10.5,15.5,14.0,11.0,1
14.5,9.0,18.5,15.0,13.0,12.5,1
16.0,12.0,16.0,19.0,17.5,17.0,1
11.5,6.5,10.5,9.5,15.0,5.5,0
12.0,17.0,12.0,11.5,17.0,12.0,1
12.0,11.5,15.0,12.5,16.5,11.5,1
17.5,16.5,15.0,19.5,20.0,13.0,1
16.0,11.5,17.5,12.0,12.0,9.5,1
15.5,13.5,11.0,10.5,8.0,5.0,0
17.5,14.5,8.0,8.0,12.0,6.0,0
18.5,15.5,19.5,20.0,20.0,17.0,1
17.5,16.5,11.0,16.0,14.0,7.5,1
9.0,14.5,7.0,9.0,10.0,11.0,0
14.0,12.5,16.0,19.0,13.0,15.0,1
16.5,8.5,14.5,8.5,16.5,7.0,1
14.0,17.5,16.5,13.5,14.0,5.5,1
13.0,16.0,5.5,0.5,7.0,1.5,0
17.5,13.5,13.0,16.5,16.5,10.0,1
17.5,8.0,0.0,4.5,9.5,9.0,0
16.5,11.5,10.5,8.0,18.0,10.5,1
17.5,10.0,16.0,15.0,10.5,7.0,1
18.5,12.0,12.0,8.0,14.5,8.0,1
13.0,16.5,19.0,9.0,17.5,10.5,1
