"","divertid","presupu","aprovech","buenacom","noimport","ahorro","cut2"
"1",6,4,7,3,2,3,"1"
"2",2,3,1,4,5,4,"2"
"3",7,2,6,4,1,3,"1"
"4",4,6,4,5,3,6,"3"
"5",1,3,2,2,6,4,"2"
"6",6,4,6,3,3,4,"1"
"7",5,3,6,3,3,4,"1"
"8",7,3,7,4,1,4,"1"
"9",2,4,3,3,6,3,"2"
"10",3,3,3,6,4,6,"2"
"11",1,3,2,3,5,3,"2"
"12",5,4,5,4,2,4,"1"
"13",2,2,1,5,4,4,"2"
"14",4,6,4,6,4,7,"3"
"15",6,5,4,2,1,4,"1"
"16",3,5,4,6,4,7,"3"
"17",4,4,7,2,2,5,"1"
"18",3,7,2,6,4,3,"3"
"19",4,6,3,7,2,7,"3"
"20",2,3,2,4,7,2,"2"
"21",5,4,6,4,3,5,"1"
