"","x1","x2","x3","x4","x5","x6","Axis1","Axis2"
"1",4.1,0.6,6.9,4.7,2.35,5.2,1.35853054618857,0.345191265050756
"2",1.8,3,6.3,6.6,4,8.4,-2.58222646193129,-0.879518018390248
"3",3.4,5.2,5.7,6,2.7,8.2,-2.50456159207506,0.227923493087741
"4",2.7,1,7.1,5.9,2.3,7.8,-0.268716846861791,0.345943357766381
"5",6,0.9,9.6,7.8,4.6,4.5,1.28222365098005,-4.27824332511956
"6",1.9,3.3,7.9,4.8,1.9,9.7,-1.30598760058076,1.60888323292522
"7",4.6,2.4,9.5,6.6,4.5,7.6,-0.359207373716556,-2.80229322343792
"8",1.3,4.2,6.2,5.1,2.2,6.9,-1.74545671149514,1.50596835069779
"9",5.5,1.6,9.4,4.7,3,7.6,1.24958744026233,-0.829596394550431
"10",4,3.5,6.5,6,3.2,8.7,-1.70096228270466,-0.54237393123298
"11",2.4,1.6,8.8,4.8,2.8,5.8,0.710070561997654,0.166486194247398
"12",3.9,2.2,9.1,4.6,2.5,8.3,0.414116201077474,0.247814762923961
"13",2.8,1.4,8.1,3.8,1.4,6.6,1.19751770823982,1.92229453516182
"14",3.7,1.5,8.6,5.7,3.7,6.7,0.235708125068441,-1.33852326751628
"15",4.7,1.3,9.9,6.7,2.6,6.8,1.1276920171851,-1.50858068594976
"16",3.4,2,9.7,4.7,1.7,4.8,1.86884371470916,0.599286194841464
"17",3.2,4.1,5.7,5.1,2.9,6.2,-1.32996212021026,0.398106668147783
"18",4.9,1.8,7.7,4.3,1.5,5.9,1.57656294315003,0.982978465634159
"19",5.3,1.4,9.7,6.1,3.9,6.8,0.913561159033759,-2.39205361435637
"20",4.7,1.3,9.9,6.7,2.6,6.8,1.1276920171851,-1.50858068594976
"21",3.3,0.9,8.6,4,1.8,6.3,1.61301136273485,1.19928114712739
"22",3.4,0.4,8.3,2.5,1.7,5.2,2.5313360468602,2.00377911823072
"23",3,4,9.1,7.1,3.4,8.4,-1.61753140906053,-1.48418151792286
"24",2.4,1.5,6.7,4.8,2.5,7.2,-0.275106238182469,0.909184209948516
"25",5.1,1.4,8.7,4.8,2.6,3.8,2.25281996635106,-0.621105531051634
"26",4.6,2.1,7.9,5.8,2.8,4.7,0.931252655674367,-0.924753137359741
"27",2.4,1.5,6.6,4.8,2.5,7.2,-0.308485127885932,0.927637525933588
"28",5.2,1.3,9.7,6.1,3.9,6.7,0.954335715374415,-2.37477339155405
"29",3.5,2.8,9.9,3.5,1.7,5.4,1.79210566134161,1.26107689140328
"30",4.1,3.7,5.9,5.5,3,8.4,-1.65141560693152,-0.0433607186873134
"31",3,3.2,6,5.3,3,8,-1.5700823233673,0.31818071205184
"32",2.8,3.8,8.9,6.9,3.2,8.2,-1.4775703637516,-1.14061832456034
"33",5.2,2,9.3,5.9,2.4,4.6,1.76200999559813,-1.09818303793083
"34",3.4,3.7,6.4,5.7,3.4,8.4,-1.89022643888503,-0.364614530082792
"35",2.4,1,7.7,3.4,1.1,6.2,1.44253059375249,2.52715650767716
"36",1.8,3.3,7.5,4.5,2.4,7.6,-0.917370048425242,1.29331346429667
"37",3.6,4,5.8,5.8,2.5,9.3,-2.14034859796362,0.45883029000453
"38",4,0.9,9.1,5.4,2.6,7.3,1.01734038970823,-0.431197840808209
"39",0,2.1,6.9,5.4,2.6,8.9,-1.8942372514259,1.34206866956096
"40",2.4,2,6.4,4.5,2.2,8.8,-0.87907818559506,1.52316266250985
"41",1.9,3.4,7.6,4.6,2.5,7.7,-0.98735057107971,1.12153186761541
"42",5.9,0.9,9.6,7.8,4.6,4.5,1.25212119980493,-4.24858079472855
