"","EDAD","SEXO","CIVIL","HIJOS","INGRESO","AUTO","Pred.nuevos.clase","Actual","Fuga"
"1",57,"Fem","Casado",2,27535.3,"Si","Fuga",0.2375,0.7625
"2",68,"Fem","Casado",2,81000.9,"No","Fuga",0.2375,0.7625
"3",33,"Fem","Casado",0,2974.76,"Si","Actual",0.911764705882353,0.0882352941176471
"4",86,"Fem","Soltero",2,92885.9,"No","Fuga",0.2375,0.7625
"5",54,"Masc","Casado",2,11676.2,"No","Actual",0.903614457831325,0.0963855421686747
"6",19,"Fem","Casado",0,27842.1,"No","Fuga",0.125,0.875
"7",18,"Fem","Casado",1,9925.68,"No","Fuga",0.125,0.875
"8",75,"Masc","Casado",2,17562.9,"Si","Actual",0.903614457831325,0.0963855421686747
"9",62,"Masc","Casado",0,50676,"No","Actual",0.903614457831325,0.0963855421686747
"10",81,"Fem","Casado",1,77622.9,"No","Fuga",0.2375,0.7625
