"","Valoración_credito","Edad","Ingresos","Tarjetas_credito","Educacion","Créditos_coche","CLASE.CART","PROBA.CART"
"1","Malo",36.2198186270384,"Medio","5 o más","Bachillerato","2 o más","Malo",0.235294117647059
"2","Malo",21.9895325521109,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"3","Malo",29.1696704837595,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"4","Malo",32.7525686569405,"Bajo","5 o más","Bachillerato","1 o ninguno","Malo",0.0985010706638115
"5","Malo",36.7705818796803,"Medio","5 o más","Bachillerato","2 o más","Malo",0.235294117647059
"6","Malo",39.324884561542,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.621621621621622
"7","Malo",31.6994383536889,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.556818181818182
"8","Malo",34.7179050432069,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"9","Malo",31.5314611385396,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"10","Malo",24.7799698930927,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"11","Malo",22.7626804138673,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"12","Malo",45.9657657707858,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"13","Malo",29.3860485027138,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"14","Malo",29.2146600645349,"Bajo","5 o más","Bachillerato","1 o ninguno","Malo",0.0985010706638115
"15","Malo",39.6033680893609,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"16","Malo",39.4559522999769,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"17","Malo",34.1272496565828,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"18","Malo",35.8179258667116,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.727272727272727
"19","Malo",35.9655690420606,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.727272727272727
"20","Malo",26.2630784906391,"Alto","5 o más","Bachillerato","2 o más","Bueno",0.824175824175824
"21","Malo",21.5186748619891,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"22","Malo",29.2323150842387,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"23","Malo",22.9443922084956,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"24","Malo",43.41514530778,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.787037037037037
"25","Malo",20.1606600199058,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"26","Malo",27.984488681379,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"27","Malo",29.4901892681298,"Medio","5 o más","Bachillerato","2 o más","Malo",0.377551020408163
"28","Malo",30.1157765806122,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"29","Malo",25.4309508765681,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"30","Malo",40.1854567815517,"Bajo","5 o más","Bachillerato","1 o ninguno","Malo",0.0985010706638115
"31","Malo",20.5211439617383,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"32","Malo",22.7584380317412,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"33","Malo",32.8956750150943,"Medio","5 o más","Universitario","2 o más","Bueno",0.556818181818182
"34","Malo",33.2118225612413,"Medio","5 o más","Universitario","2 o más","Bueno",0.556818181818182
"35","Malo",27.9809088526194,"Alto","5 o más","Universitario","1 o ninguno","Bueno",0.824175824175824
"36","Malo",20.992631031142,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"37","Malo",28.609254663842,"Medio","5 o más","Bachillerato","2 o más","Malo",0.377551020408163
"38","Malo",20.789141429237,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
