Mes	Produccion
Ene07	190.592479
Feb07	241.405607
Mar07	330.847567
Abr07	657.989855
May07	651.058632
Jun07	309.096657
Jul07	108.062859
Ago07	126.916758
Sep07	152.834416
Oct07	201.72759
Nov07	211.677825
Dic07	200.81015
Ene08	198.085504
Feb08	246.014885
Mar08	351.198809
Abr08	679.367664
May08	708.072857
Jun08	362.020655
Jul08	145.549604
Ago08	145.72163
Sep08	155.958043
Oct08	204.541091
Nov08	206.019695
Dic08	194.540602
Ene09	161.889524
Feb09	213.390739
Mar09	374.276337
Abr09	696.600406
May09	820.36638
Jun09	372.007346
Jul09	177.429697
Ago09	177.420678
Sep09	167.731838
Oct09	181.347139
Nov09	214.412649
Dic09	208.415868
Ene10	201.858968
Feb10	226.140084
Mar10	350.433354
Abr10	728.840528
May10	813.790837
Jun10	329.734331
Jul10	169.821212
Ago10	116.908369
Sep10	160.537972
Oct10	199.09833
Nov10	264.613658
Dic10	243.68539
Ene11	196.582942
Feb11	242.952213
Mar11	333.079692
Abr11	747.552866
May11	887.218433
Jun11	438.659893
Jul11	210.063818
Ago11	149.501607
Sep11	150.505809
Oct11	204.345244
Nov11	239.39835
Dic11	272.59429
Ene12	206.01601
Feb12	251.801788
Mar12	350.095444
Abr12	775.806746
May12	1023.127995
Jun12	578.241494
Jul12	240.029204
Ago12	155.161428
Sep12	181.291668
Oct12	189.020733
Nov12	259.85514
Dic12	264.265004
Ene13	223.410309
Feb13	255.001073
Mar13	411.674025
Abr13	843.000028
May13	1058.692823
Jun13	487.566231
Jul13	195.990938
Ago13	142.389129
Sep13	173.630396
Oct13	216.923823
Nov13	266.60828
Dic13	302.38141
Ene14	234.44979
Feb14	264.328031
Mar14	403.147743
Abr14	869.301814
May14	1083.598144
Jun14	492.206212
Jul14	218.133366
Ago14	151.368398
Sep14	196.325214
Oct14	245.538125
Nov14	272.910958
Dic14	273.67964
Ene15	215.231469
Feb15	259.182028
Mar15	419.349664
Abr15	917.74557
May15	1113.671407
Jun15	517.500734
Jul15	244.373798
Ago15	144.660399
Sep15	185.583939
Oct15	240.201867
Nov15	235.761537
Dic15	222.667852
Ene16	193.400221
Feb16	262.80382
Mar16	403.283663
Abr16	885.896111
May16	984.612867
Jun16	540.705234
Jul16	223.162324
Ago16	154.03033
Sep16	133.488881
Oct16	264.180589
Nov16	236.083732
Dic16	232.59149
Ene17	225.497142
Feb17	276.108138
Mar17	386.25726
Abr17	854.392404
May17	1053.013773
Jun17	598.603909
