Fecha	ValorCuota
25-Oct-16	57.5958
26-Oct-16	57.4792
27-Oct-16	57.3149
28-Oct-16	57.3342
29-Oct-16	57.3323
30-Oct-16	57.3303
31-Oct-16	57.5022
1-Nov-16	57.5839
2-Nov-16	57.1543
3-Nov-16	57.1521
4-Nov-16	57.3071
5-Nov-16	57.3051
6-Nov-16	57.3032
7-Nov-16	57.4722
8-Nov-16	57.3866
9-Nov-16	57.2967
10-Nov-16	57.1117
11-Nov-16	56.8254
12-Nov-16	56.8234
13-Nov-16	56.8215
14-Nov-16	56.5596
15-Nov-16	56.3719
16-Nov-16	56.3265
17-Nov-16	56.1207
18-Nov-16	56.2253
19-Nov-16	56.2228
20-Nov-16	56.2202
21-Nov-16	55.9337
22-Nov-16	55.999
23-Nov-16	55.9293
24-Nov-16	56.0787
25-Nov-16	56.1638
26-Nov-16	56.1607
27-Nov-16	56.1586
28-Nov-16	56.3886
29-Nov-16	56.2906
30-Nov-16	56.4731
1-Dic-16	56.5839
2-Dic-16	56.6151
3-Dic-16	56.6131
4-Dic-16	56.6109
5-Dic-16	56.658
6-Dic-16	56.6416
7-Dic-16	56.8075
8-Dic-16	56.7828
9-Dic-16	56.7012
10-Dic-16	56.707
11-Dic-16	56.7046
12-Dic-16	56.711
13-Dic-16	56.7998
14-Dic-16	56.7055
15-Dic-16	56.4893
16-Dic-16	56.5631
17-Dic-16	56.5609
18-Dic-16	56.5588
19-Dic-16	56.481
20-Dic-16	56.6599
21-Dic-16	56.9808
22-Dic-16	56.9647
23-Dic-16	56.9715
24-Dic-16	56.9691
25-Dic-16	56.9668
26-Dic-16	56.9343
27-Dic-16	57.0212
28-Dic-16	57.2196
29-Dic-16	57.3016
30-Dic-16	57.2154
31-Dic-16	57.2124
1-Ene-17	57.2103
2-Ene-17	57.159
3-Ene-17	57.4258
4-Ene-17	57.5959
5-Ene-17	57.7899
6-Ene-17	57.7115
7-Ene-17	57.7097
8-Ene-17	57.708
9-Ene-17	57.6057
10-Ene-17	57.8029
11-Ene-17	57.6621
12-Ene-17	57.6292
13-Ene-17	57.7822
14-Ene-17	57.7797
15-Ene-17	57.7772
16-Ene-17	57.663
17-Ene-17	57.7725
18-Ene-17	57.7091
19-Ene-17	57.5114
20-Ene-17	57.7214
21-Ene-17	57.7193
22-Ene-17	57.7172
23-Ene-17	58.0252
24-Ene-17	58.5742
25-Ene-17	58.6367
26-Ene-17	58.2032
27-Ene-17	58.0646
28-Ene-17	58.0627
29-Ene-17	58.0608
30-Ene-17	57.9376
31-Ene-17	58.2263
1-Feb-17	58.4193
2-Feb-17	58.754
3-Feb-17	58.9474
4-Feb-17	58.9455
5-Feb-17	58.9436
6-Feb-17	58.9217
7-Feb-17	58.9232
8-Feb-17	59.0504
9-Feb-17	58.9267
10-Feb-17	59.3938
11-Feb-17	59.392
12-Feb-17	59.3902
13-Feb-17	59.3273
14-Feb-17	59.0454
15-Feb-17	59.1743
16-Feb-17	58.9282
17-Feb-17	58.7357
18-Feb-17	58.7339
19-Feb-17	58.7321
20-Feb-17	58.7839
21-Feb-17	58.8432
22-Feb-17	58.8899
23-Feb-17	58.76
24-Feb-17	57.8437
25-Feb-17	57.8419
26-Feb-17	57.8401
27-Feb-17	57.4037
28-Feb-17	57.4639
1-Mar-17	57.9032
2-Mar-17	57.2528
3-Mar-17	57.4571
4-Mar-17	57.4552
5-Mar-17	57.4534
6-Mar-17	56.8303
7-Mar-17	56.6346
8-Mar-17	56.4904
9-Mar-17	56.3962
10-Mar-17	56.5416
11-Mar-17	56.5397
12-Mar-17	56.5377
13-Mar-17	56.5201
14-Mar-17	56.0572
15-Mar-17	56.7787
16-Mar-17	57.3245
17-Mar-17	57.3976
18-Mar-17	57.3956
19-Mar-17	57.3936
20-Mar-17	57.3875
21-Mar-17	57.2326
22-Mar-17	57.0968
23-Mar-17	57.2205
24-Mar-17	57.5135
25-Mar-17	57.5115
26-Mar-17	57.5095
27-Mar-17	57.3951
28-Mar-17	57.4635
29-Mar-17	57.61
30-Mar-17	57.5608
31-Mar-17	57.6973
1-Abr-17	57.6952
2-Abr-17	57.6932
3-Abr-17	57.7201
4-Abr-17	57.9752
5-Abr-17	58.1555
6-Abr-17	58.0504
7-Abr-17	57.9252
8-Abr-17	57.9232
9-Abr-17	57.9212
10-Abr-17	57.8728
11-Abr-17	57.9016
12-Abr-17	57.7903
13-Abr-17	57.6629
14-Abr-17	57.6609
15-Abr-17	57.659
16-Abr-17	57.657
17-Abr-17	57.8072
18-Abr-17	57.4759
19-Abr-17	57.4986
20-Abr-17	57.7439
21-Abr-17	57.6582
22-Abr-17	57.6561
23-Abr-17	57.6541
24-Abr-17	57.4146
25-Abr-17	57.287
26-Abr-17	57.4898
27-Abr-17	57.2426
28-Abr-17	57.273
29-Abr-17	57.2712
30-Abr-17	57.2693
1-May-17	57.2205
2-May-17	57.4691
3-May-17	57.3838
4-May-17	57.0102
5-May-17	57.2814
6-May-17	57.2794
7-May-17	57.2774
8-May-17	57.1604
9-May-17	57.3723
10-May-17	57.5482
11-May-17	57.7884
12-May-17	57.8945
13-May-17	57.8795
14-May-17	57.8777
15-May-17	58.0913
16-May-17	57.9631
17-May-17	57.8699
18-May-17	57.3179
19-May-17	58.0295
20-May-17	58.0276
21-May-17	58.0258
22-May-17	57.7293
23-May-17	57.5878
24-May-17	57.5961
25-May-17	57.7098
26-May-17	57.5859
27-May-17	57.584
28-May-17	57.5822
29-May-17	57.546
30-May-17	57.3938
31-May-17	57.4646
1-Jun-17	57.1484
2-Jun-17	57.2209
3-Jun-17	57.219
4-Jun-17	57.2171
5-Jun-17	57.3032
6-Jun-17	57.5129
7-Jun-17	57.4033
8-Jun-17	57.5703
9-Jun-17	57.7257
10-Jun-17	57.7238
11-Jun-17	57.722
12-Jun-17	57.2658
13-Jun-17	57.2125
14-Jun-17	57.1623
15-Jun-17	56.6493
16-Jun-17	56.5177
17-Jun-17	56.5159
18-Jun-17	56.5141
19-Jun-17	56.7509
20-Jun-17	56.4732
21-Jun-17	56.928
22-Jun-17	57.0233
23-Jun-17	57.293
24-Jun-17	57.2908
25-Jun-17	57.2886
26-Jun-17	57.394
27-Jun-17	57.4209
28-Jun-17	57.3229
29-Jun-17	57.353
30-Jun-17	57.591
1-Jul-17	57.5888
2-Jul-17	57.5867
3-Jul-17	57.58
4-Jul-17	57.5719
5-Jul-17	57.6569
6-Jul-17	57.6009
7-Jul-17	57.6128
8-Jul-17	57.6107
9-Jul-17	57.6087
10-Jul-17	57.6928
11-Jul-17	57.8879
12-Jul-17	58.1494
13-Jul-17	58.2072
14-Jul-17	58.3751
15-Jul-17	58.3729
16-Jul-17	58.3708
17-Jul-17	58.4224
18-Jul-17	58.4916
19-Jul-17	58.5138
20-Jul-17	58.5323
21-Jul-17	58.6114
22-Jul-17	58.6092
23-Jul-17	58.6069
24-Jul-17	58.6095
25-Jul-17	58.7696
26-Jul-17	58.8477
27-Jul-17	58.9606
28-Jul-17	59.0533
29-Jul-17	59.0509
30-Jul-17	59.0486
31-Jul-17	58.9078
1-Ago-17	59.1592
2-Ago-17	59.1398
3-Ago-17	59.1015
4-Ago-17	59.0182
5-Ago-17	59.016
6-Ago-17	59.0138
7-Ago-17	58.9152
8-Ago-17	59.1351
9-Ago-17	59.2515
10-Ago-17	58.7924
11-Ago-17	58.9053
12-Ago-17	58.9031
13-Ago-17	58.9009
